Kyiv,Київ
Kharkiv,Харків
Odesa,Одеса
Dnipro,Дніпро
Donetsk,Донецьк
Zaporizhzhia,Запоріжжя
Lviv,Львів
Kryvyi Rih,Кривий Ріг
Mykolaiv,Миколаїв
Sevastopol,Севасто́поль
Mariupol,Маріуполь
Luhansk,Луганськ
Vinnytsia,Вінниця
Makiivka,Макіївка
Simferopol,Сімферополь
Chernihiv,Чернігів
Kherson,Херсон
Poltava,Полтава
Khmelnytskyi,Хмельницький
Cherkasy,Черкаси
Chernivtsi,Чернівці
Zhytomyr,Житомир
Sumy,Суми
Rivne,Рівне
Horlivka,Горлівка
Ivano-Frankivsk,Івано-Франківськ
Kamianske,Кам'янське
Ternopil,Тернопіль
Kropyvnytskyi,Кропивницький
Kremenchuk,Кременчук
Lutsk,Луцьк
Bila Tserkva,Біла Церква
Kerch,Керч
Melitopol,Мелітополь
Kramatorsk,Краматорськ
Uzhhorod,Ужгород
Brovary,Бровари
Yevpatoria,Євпаторія
Berdiansk,Бердянськ
Nikopol,Нікополь
Sloviansk,Слов'янськ
Alchevsk,Алчевськ
Pavlohrad,Павлоград
Sievierodonetsk,Сєвєродонецьк
Kamianets-Podilskyi,Кам'янець-Подільський
Lysychansk,Лисичанськ
Mukachevo,Мукачево
Konotop,Конотоп
Uman,Умань
Krasnyi Luch,Хрустальний
Yalta,Ялта
Oleksandriia,Олександрія
Yenakiieve,Єнакієве
Drohobych,Дрогобич
Berdychiv,Бердичів
Stakhanov,Кадіївка
Shostka,Шостка
Bakhmut,Бахмут
Izmail,Ізмаїл
Novomoskovsk,Новомосковськ
Kostiantynivka,Костянтинівка
Kovel,Ковель
Feodosia,Феодосія
Nizhyn,Ніжин
Smila,Сміла
Kalush,Калуш
Chervonohrad,Червоноград
Boryspil,Бориспіль
Pervomaisk,Первомайськ
Sverdlovsk,Довжанськ
Irpin,Ірпінь
Korosten,Коростень
Pokrovsk,Покровськ
Kolomyia,Коломия
Stryi,Стрий
Chornomorsk,Чорноморськ
Khartsyzk,Харцизьк
Rubizhne,Рубіжне
Novohrad-Volynskyi,Новоград-Волинський
Druzhkivka,Дружківка
Lozova,Лозова
Chystiakove,Чистякове
Enerhodar,Енергодар
Pryluky,Прилуки
Antratsyt,Антрацит
Novovolynsk,Нововолинськ
Horishni Plavni,Горішні Плавні
Shakhtarsk,Шахтарськ
Bilhorod-Dnistrovskyi,Білгород-Дністровський
Okhtyrka,Охтирка
Myrnohrad,Мирноград
Snizhne,Сніжне
Izium,Ізюм
Marhanets,Марганець
Rovenky,Ровеньки
Nova Kakhovka,Нова Каховка
Brianka,Брянка
Fastiv,Фастів
Lubny,Лубни
Svitlovodsk,Світловодськ
Zhovti Vody,Жовті Води
Krasnodon,Сорокине
Vyshneve,Вишневе
Varash,Вараш
Shepetivka,Шепетівка
Podilsk,Подільськ
Yuzhnoukrainsk,Южноукраїнськ
Myrhorod,Миргород
Romny,Ромни
Pokrov,Покров
Volodymyr,Володимир
Dzhankoi,Джанкой
Vasylkiv,Васильків
Dubno,Дубно
Bucha,Буча
Netishyn,Нетішин
Pervomaisk,Первомайськ
Kakhovka,Каховка
Boyarka,Боярка
Slavuta,Славута
Sambir,Самбір
Yasynuvata,Ясинувата
Starokostiantyniv,Старокостянтинів
Zhmerynka,Жмеринка
Voznesensk,Вознесенськ
Obukhiv,Обухів
Boryslav,Борислав
Yuzhne,Южне
Vyshhorod,Вишгород
Hlukhiv,Глухів
Avdiivka,Авдіївка
Chuhuiv,Чугуїв
Toretsk,Торецьк
Novoiavorivsk,Новояворівськ
Kostopil,Костопіль
Alushta,Алушта
Mohyliv-Podilskyi,Могилів-Подільський
Tokmak,Токмак
Synelnykove,Синельникове
Pervomaiskyi,Первомайський
Sarny,Сарни
Dobropillia,Добропілля
Truskavets,Трускавець
Chortkiv,Чортків
Khust,Хуст
Novyi Rozdil,Новий розділ
Pershotravensk,Першотравенськ
Zolotonosha,Золотоноша
Kirovske,Хрестівка
Ternivka,Тернівка
Kupiansk,Куп'янськ
Khmilnyk,Хмільник
Balakliia,Балаклія
Kirovsk,Голубівка
Pereiaslav,Переяслав
Bakhchysarai,Бахчисарай
Haisyn,Гайсин
Malyn,Малин
Vynohradiv,Виноградів
Perevalsk,Перевальськ
Slavutych,Славутич
Krasnoperekopsk,Красноперекопськ
Zdolbuniv,Здолбунів
Korostyshiv,Коростишів
Oleshky,Олешки
Debaltseve,Дебальцеве
Saky,Саки
Lebedyn,Лебедин
Zolochiv,Золочів
Kaniv,Канів
Berehove,Берегове
Brody,Броди
Hadiach,Гадяч
Dokuchaievsk,Докучаєвськ
Koziatyn,Козятин
Ladyzhyn,Ладижин
Nadvirna,Надвірна
Molodohvardiisk,Молодогвардійськ
Vilnohirsk,Вільногірськ
Krolevets,Кролевець
Selydove,Селидове
Znamianka,Знам'янка
Volnovakha,Волноваха
Merefa,Мерефа
Armiansk,Армянськ
Kremenets,Кременець
Sokal,Сокаль
Dolyna,Долина
Sukhodilsk,Суходільськ
Polonne,Полонне
Lyman,Лиман
Stebnyk,Стебник
Liubotyn,Люботин
Krasnohrad,Красноград
Trostianets,Тростянець
Popasna,Попасна
Yahotyn,Яготин
Henichesk,Генічеськ
Kiliia,Кілія
Kalynivka,Калинівка
Krasyliv,Красилів
Kurakhove,Курахове
Volochysk,Волочиськ
Piatykhatky,П'ятихатки
Kreminna,Кремінна
Polohy,Пологи
Balta,Балта
Amvrosiivka,Амвросіївка
Dniprorudne,Дніпрорудне
Reni,Рені
Vovchansk,Вовчанськ
Derhachi,Дергачі
Bakhmach,Бахмач
Starobilsk,Старобільськ
Vatutine,Ватутіне
Zvenyhorodka,Звенигородка
Zuhres,Зугрес
Skadovsk,Скадовськ
Svatove,Сватове
Shpola,Шпола
Novoukrainka,Новоукраїнка
Korsun-Shevchenkivskyi,Корсунь-Шевченківський
Lutuhyne,Лутугине
Bilohirsk,Білогірськ
Dolynska,Долинська
Iziaslav,Ізяслав
Bilopillia,Білопілля
Bohodukhiv,Богодухів
Skvyra,Сквира
Karlivka,Карлівка
Orikhiv,Оріхів
Bilozerske,Білозерське
Zolote,Золоте
Yunokomunarivsk,Бунге
Pidhorodne,Підгородне
Rozdilna,Роздільна
Horodok,Городок
Chervonopartyzansk,Вознесенівка
Ilovaisk,Іловайськ
Berezhany,Бережани
Novohrodivka,Новогродівка
Vuhledar,Вугледар
Berezan,Березань
Putyvl,Путивль
Bolhrad,Болград
Bar,Бар
Svaliava,Свалява
Bohuslav,Богуслав
Huliaipole,Гуляйполе
Zmiiv,Зміїв
Ovruch,Овруч
Verkhnodniprovsk,Верхньодніпровськ
Ochakiv,Очаків
Krasnohorivka,Красногорівка
Kivertsi,Ківерці
Pyriatyn,Пирятин
Mykolaivka,Миколаївка
Chasiv Yar,Часів Яр
Vilniansk,Вільнянськ
Dunaivtsi,Дунаївці
Apostolove,Апостолове
Talne,Тальне
Artsyz,Арциз
Novyi Buh,Новий Буг
Tulchyn,Тульчин
Haivoron,Гайворон
Horodok,Городок
Hola Prystan,Гола Пристань
Nosivka,Носівка
Zhashkiv,Жашків
Horodyshche,Городище
Vasylivka,Василівка
Kamianka-Dniprovska,Кам'янка-Дніпровська
Petrovske,Петровське
Beryslav,Берислав
Snihurivka,Снігурівка
Radomyshl,Радомишль
Burshtyn,Бурштин
Rakhiv,Рахів
Novhorod-Siverskyi,Новгород-Сіверський
Kamianka,Кам'янка
Tetiiv,Тетіїв
Mykolaiv,Миколаїв
Ostroh,Острог
Zelenodolsk,Зеленодольськ
Vakhrusheve,Боково-Хрустальне
Khorol,Хорол
Storozhynets,Сторожинець
Sudak,Судак
